@relation IdentifyKey

@attribute title string
@attribute C numeric
@attribute C# numeric
@attribute D numeric
@attribute D# numeric
@attribute E numeric
@attribute F numeric
@attribute F# numeric
@attribute G numeric
@attribute G# numeric
@attribute A numeric
@attribute A# numeric
@attribute B numeric
@attribute key {C,c,C#,c#,D,d,D#,d#,E,e,F,f,F#,f#,G,g,G#,g#,A,a,A#,a#,B,b}

@data
'Waltz in A flat major, op. 42',0.725526,0.767082,0.624991,1,0.353498,0.61532,0.296151,0.812368,0.87402,0.228044,0.507214,0.29848,G#
'3 Waltzes, op. 64, i. D flat major',1,0.580982,0.250294,0.422209,0.198992,0.754435,0.724867,0.394682,0.938988,0.263597,0.428663,0.180045,C#
'3 Waltzes, op. 64, ii. C sharp minor',0.491711,1,0.375029,0.562147,0.406478,0.328206,0.76647,0.300632,0.633039,0.499132,0.357077,0.437878,c#
'3 Waltzes, op. 64, iii. A flat major',1,0.705187,0.821396,0.612927,0.287129,0.606905,0.385216,0.663834,0.585767,0.428259,0.440114,0.470114,G#
'2 Waltzes, op. 69, i. A flat major',0.783573,0.903648,0.539864,0.907172,0.165949,0.810189,0.19225,0.68902,0.685884,0.228702,1,0.184335,G#
'2 Waltzes, op. 69, ii. B minor',0.084149,0.849772,0.652148,0.206089,0.521573,0.130359,1,0.400875,0.202702,0.286064,0.363862,0.602338,b
'3 Waltzes, op. 70, i. G flat major',0.244195,1,0.133999,0.543284,0.083282,0.396878,0.63126,0.174983,0.618634,0.109084,0.530613,0.393829,F#
'3 Waltzes, op. 70, ii. F minor',1,0.421351,0.468364,0.836228,0.169863,0.67815,0.158492,0.562156,0.762418,0.287311,0.465012,0.185437,f
'3 Waltzes, op. 70, iii. D flat major',0.588286,1,0.1695,0.669072,0.114707,0.362382,0.612416,0.310802,0.754087,0.162453,0.639453,0.307254,C#
'Waltz in E minor (1830)',0.397788,0.439369,0.260006,0.527287,0.804226,0.196657,0.595922,0.766461,0.511352,0.563678,0.494105,1,e
'Waltz in E major (1829)',0.242431,0.824983,0.305469,0.684096,0.951793,0.145484,0.798964,0.260809,0.767287,0.664595,0.413724,1,E
'Waltz in A minor (?1843)',0.614452,0.124729,0.478369,0.206862,0.72745,0.35209,0.29567,0.256861,0.348392,1,0.09002,0.410345,a
'Waltz in A flat major (1827)',1,0.813334,0.179944,0.495293,0.271178,0.760632,0.219143,0.392308,0.864043,0.264147,0.484881,0.313882,G#
'Waltz in E flat major (\'Sostenuto\', 1840)',0.834329,0.131583,0.751388,0.829025,0.17341,0.473953,0.390727,0.87678,0.406059,0.340458,1,0.213784,D#
'Waltz in E flat major (1829/30)',0.627381,0.114543,0.435913,0.967305,0.181225,1,0.203914,0.746101,0.531872,0.189667,0.839474,0.192086,D#
'4 Mazurkas, op. 6, i. F sharp minor',0.276564,1,0.308861,0.206823,0.315539,0.177323,0.530689,0.115401,0.562945,0.388259,0.121772,0.351382,f#
'4 Mazurkas, op. 6, ii. C sharp minor',0.406343,0.633984,0.180451,0.619608,0.319845,0.140298,0.353523,0.251971,1,0.196095,0.291757,0.160247,c#
'4 Mazurkas, op. 6, iii. E major',0.137527,0.769721,0.196334,0.449581,0.843744,0.16657,1,0.15538,0.898229,0.558072,0.268975,0.806114,E
'4 Mazurkas, op. 6, iv. E flat minor',0.441982,1,0.329716,0.792367,0.170918,0.374411,0.521754,0.304181,0.741096,0.15152,0.829458,0.564621,d#
'5 Mazurkas, op. 7, i. B flat major',1,0.234665,0.731805,0.485991,0.48227,0.792039,0.22303,0.927038,0.181052,0.753143,0.922039,0.175026,A#
'5 Mazurkas, op. 7, ii. A minor',0.335785,0.945998,1,0.53422,0.865971,0.392438,0.771144,0.411387,0.611339,0.793477,0.290029,0.810436,a
'5 Mazurkas, op. 7, iii. F minor',1,0.772747,0.264561,0.70398,0.216693,0.618455,0.360135,0.520454,0.986791,0.20143,0.44268,0.205111,f
'5 Mazurkas, op. 7, iv. A flat major',0.880055,0.953002,0.380308,0.775119,0.344403,0.404882,0.215674,0.595436,1,0.235963,0.527933,0.208602,G#
'5 Mazurkas, op. 7, v. C major',0.754366,0.145944,0.930787,0.11807,0.492233,0.181362,0.445926,1,0.112125,0.542792,0.108503,0.457184,C
'4 Mazurkas, op. 17, i. B flat major',0.862225,0.229787,0.910041,0.432203,0.35929,0.642659,0.31098,0.491951,0.247673,0.586379,1,0.204748,A#
'4 Mazurkas, op. 17, ii. E minor',0.627723,0.56081,0.690222,0.47162,0.660517,0.181387,0.791049,0.568463,0.304789,0.581917,0.439869,1,e
'4 Mazurkas, op. 17, iii. A flat major',0.685606,1,0.213191,0.931095,0.304885,0.394247,0.404187,0.263776,0.675447,0.202638,0.703945,0.580919,G#
'4 Mazurkas, op. 17, iv. A minor',0.538761,0.646376,1,0.373231,0.774442,0.353365,0.575984,0.226065,0.438426,0.603168,0.201507,0.763126,a
'4 Mazurkas, op. 24, i. G minor',0.679543,0.335231,1,0.657091,0.229665,0.786764,0.401852,0.803431,0.454755,0.485612,0.68737,0.155267,g
'4 Mazurkas, op. 24, ii. C major',1,0.416848,0.993739,0.323261,0.415644,0.764354,0.371492,0.657892,0.469666,0.589592,0.298021,0.572592,C
'4 Mazurkas, op. 24, iii. A flat major',0.805083,0.426359,0.21216,0.630578,0.183774,0.475593,0.126937,0.437375,1,0.090827,0.419335,0.128805,G#
'4 Mazurkas, op. 24, iv. B flat minor',0.773212,0.889658,0.204154,0.463532,0.316321,0.943055,0.709232,0.287798,1,0.3831,0.558671,0.236244,a#
'4 Mazurkas, op. 30, i. C minor',0.548662,0.191535,1,0.469189,0.166383,0.305404,0.214841,0.722148,0.257954,0.24829,0.276707,0.167008,c
'4 Mazurkas, op. 30, ii. B minor',0.183001,1,0.559457,0.218161,0.281313,0.28847,0.917542,0.204262,0.446698,0.432379,0.117685,0.373535,b
'4 Mazurkas, op. 30, iii. D flat major',0.711954,1,0.403899,0.574955,0.338011,0.76,0.725934,0.440902,0.861819,0.209123,0.460086,0.220333,C#
'4 Mazurkas, op. 30, iv. C sharp minor',0.286996,0.711702,0.269419,0.67357,0.505609,0.246406,1,0.243764,0.891763,0.272197,0.374717,0.351441,c#
'4 Mazurkas, op. 33, i. G sharp minor',0.138716,1,0.204827,0.69372,0.459164,0.191476,0.870011,0.185159,0.715378,0.099075,0.404508,0.558966,g#
'4 Mazurkas, op. 33, ii. D major',0.147125,0.709927,1,0.120325,0.412454,0.134816,0.56416,0.395588,0.322486,0.502553,0.136144,0.277372,D
'4 Mazurkas, op. 33, iii. C major',1,0.793218,0.981858,0.402714,0.452592,0.27505,0.188516,0.636396,0.356154,0.208999,0.189834,0.423293,C
'4 Mazurkas, op. 33, iv. B minor',0.25433,0.779778,0.715903,0.540638,0.429427,0.383227,1,0.45321,0.537858,0.32511,0.509628,0.567797,b
'4 Mazurkas, op. 41, i. C sharp minor',0.434026,0.73584,0.321412,0.536921,0.428773,0.405624,0.826447,0.380457,1,0.363365,0.415991,0.414751,c#
'4 Mazurkas, op. 41, ii. E minor',0.325645,0.36877,0.319449,0.773039,0.472112,0.17999,1,0.298574,0.490443,0.26859,0.483671,0.957483,e
'4 Mazurkas, op. 41, iii. B major',0.347907,0.452637,0.610031,0.53245,0.369104,0.179578,1,0.454784,0.490592,0.273721,0.324036,0.954644,B
'4 Mazurkas, op. 41, iv. A flat major',1,0.512257,0.611238,0.742311,0.281786,0.410094,0.355614,0.653404,0.648572,0.19009,0.31287,0.391851,G#
